% COMP30120 2015 - Assignment 1
% Dataset restaurant for student ID number 14210231
@relation restaurant-14210231

@attribute restaurant_id numeric
@attribute ave_helpfulness_user numeric
@attribute stdev_helpfulness_user numeric
@attribute reviews_exceed_min_helpfulness numeric
@attribute num_reviews_user numeric
@attribute num_reviews_restaurant numeric
@attribute rating_user numeric
@attribute number_submitted_by_user numeric
@attribute sub_rating_mean_user numeric
@attribute sub_rating_std_user numeric
@attribute ave_rating_user numeric
@attribute stdev_rating_user numeric
@attribute ave_rating_restaurant numeric
@attribute stdev_rating_restaurant numeric
@attribute completeness_1 numeric
@attribute completeness_2 numeric
@attribute completeness_3 numeric
@attribute number_words numeric
@attribute percentage_alpha numeric
@attribute fraction_upper_case numeric
@attribute fraction_you_vs_i numeric
@attribute fraction_quoted_words numeric
@attribute percentage_quoted_alpha_chars numeric
@attribute fraction_quoted_upper_case numeric
@attribute class {helpful,unhelpful}

@data
9560,0.880896,0.241065,0.68,25,95,4,7,4.142857,0.690066,4.04,1.019804,4.210526,1.060858,5,2,4,220,0.791252,0.048367,0.090909,3,0.894737,0,helpful
4257,0.789063,0.251784,1,4,18,4,0,0,0,4,0.816497,2.666667,1.414214,0,0,0,53,0.779961,0.02267,1,3,0.882353,0.066667,unhelpful
9269,0.781502,0.355037,0.4,15,13,4,4,4,0.816497,3.866667,0.516398,3.538462,1.198289,2,0,1,54,0.78501,0.017588,1,2,0.9,0.111111,helpful
2866,0.855169,0.246265,0.513514,37,2527,5,5,5,0,4.486486,0.901284,4.173724,1.171166,5,0,1,931,0.778501,0.029257,0.184211,7,0.75,0.205128,helpful
7535,0.709546,0.361094,0.421053,19,5,2,7,1.857143,1.46385,3.421053,1.426565,3,1,5,2,3,487,0.780698,0.049042,0.428571,3,0.9,0.111111,helpful
7698,0.759804,0.383676,0.470588,34,118,3,4,2.75,0.5,4.235294,0.854891,3.771186,1.416695,2,0,0,320,0.781675,0.043498,1,2,0.944444,0.058824,helpful
1200,0.824359,0.272148,0.575,40,87,5,0,0,0,3.475,1.03744,4.413793,1.073483,0,0,0,0,0,0,0,4,0.852941,0.034483,unhelpful
6370,0.782889,0.368107,0.25641,39,11,4,4,4,0,3.333333,0.927173,3.818182,1.167748,2,0,1,55,0.773663,0.015957,0.5,2,0.888889,0.125,helpful
3069,0.768096,0.230905,0.736842,19,225,5,4,4.75,0.5,4.368421,0.830698,3.946667,1.280625,2,0,1,55,0.76673,0.034913,0,2,0.909091,0.1,unhelpful
2791,0.754667,0.363907,0.432432,37,2527,5,0,0,0,3.864865,0.67339,4.173724,1.171166,0,0,0,82,0.780928,0.026403,0.25,1,0.666667,0.125,helpful
4399,0.648069,0.375519,0.469388,98,79,5,0,0,0,3.989796,1.010205,4.56962,0.728249,2,0,0,58,0.779412,0.033019,0,3,0.814815,0.272727,unhelpful
5648,0.650123,0.363775,0.285714,21,30,3,0,0,0,3.666667,0.856349,3.333333,1.422318,0,0,0,45,0.799511,0.042813,0,4,0.869565,0.1,helpful
7019,0.707687,0.410797,0.227273,22,295,5,0,0,0,3.818182,1.097025,3.715254,1.198186,0,0,0,93,0.802367,0.011799,0.857143,2,0.833333,0.1,helpful
4865,0.747024,0.291287,1,3,259,5,0,0,0,5,0,3.899614,1.153676,0,0,0,0,0,0,0,2,0.933333,0.142857,unhelpful
7073,0.914201,0.166397,0.55,20,103,5,4,5,0,4.3,0.732695,4.174757,1.1152,2,0,1,48,0.788546,0.027933,0,4,0.833333,0.05,helpful
9653,0.848529,0.175903,0.5,12,259,5,0,0,0,3.583333,1.378954,3.899614,1.153676,0,0,0,77,0.775036,0.054307,0.5,3,0.84,0.142857,unhelpful
6840,0.951587,0.07486,0.571429,7,203,5,4,4.75,0.5,4.142857,1.069045,3.955665,1.174399,2,0,1,135,0.789943,0.017454,0.333333,3,0.842105,0.125,helpful
5946,0.614216,0.447677,0.117647,17,318,3,7,3.428571,0.786796,3.705882,0.919559,4.106918,1.215521,5,2,4,222,0.772338,0.030154,0.066667,2,0.818182,0.333333,unhelpful
3881,0.727961,0.34742,0.471698,53,34,5,4,5,0,3.830189,1.236245,4.5,0.662868,2,0,1,0,0,0,0,3,0.833333,0.2,helpful
9133,0.854658,0.205471,0.666667,39,1,1,0,0,0,3.897436,0.994587,1,0,0,0,0,102,0.775578,0.041135,0,7,0.838235,0.035088,unhelpful
7580,0.633523,0.474661,0.25,12,192,5,6,4.833333,0.408248,4.583333,0.514929,3.739583,1.271885,5,1,4,111,0.786194,0.019512,0.5,3,0.823529,0.142857,helpful
2026,0.76448,0.358707,0.294118,17,251,4,7,3.857143,0.899735,4.235294,0.903425,3.175299,1.252656,5,2,3,202,0.781589,0.041697,1,7,0.810811,0.2,helpful
8566,0.867003,0.147552,0.842424,165,53,4,7,3.857143,1.069045,4.29697,0.912142,3.811321,1.177622,5,2,3,225,0.791981,0.027397,0.5,4,0.868421,0.030303,helpful
7532,0.833333,0.288675,1,3,372,5,7,4.428571,0.786796,3.333333,1.527525,4.069892,1.108875,5,2,3,615,0.79973,0.026182,0.789474,2,0.9375,0.133333,helpful
7482,0.828588,0.312393,0.641304,92,431,5,4,4.25,0.957427,4.01087,1.208892,4.322506,1.038975,2,0,1,818,0.782962,0.025109,0.576923,5,0.780488,0.03125,helpful
8903,0.933333,0.149071,0.6,5,295,4,4,4.75,0.5,3.2,1.30384,3.715254,1.198186,2,0,1,84,0.784011,0.0161,0,6,0.805556,0.034483,unhelpful
1119,0.804167,0.321581,0.4,10,32,4,4,4,1.154701,3.4,1.429841,2.90625,1.201058,2,0,0,57,0.793621,0.047281,1,2,0.842105,0.0625,helpful
7695,0.851786,0.212162,0.5,4,58,4,0,0,0,4.25,0.5,3.965517,1.008134,0,0,0,0,0,0,0,2,0.933333,0.142857,unhelpful
5809,0.867003,0.147552,0.842424,165,15,4,7,4,1,4.29697,0.912142,3.133333,0.99043,5,2,3,186,0.791736,0.045839,0,2,0.642857,0.111111,helpful
3773,0.603175,0.246926,1,2,271,3,0,0,0,3.5,0.707107,3.656827,1.312454,0,0,0,43,0.805128,0.028662,0,1,1,0.142857,unhelpful
1006,0.84375,0.1875,1,4,198,5,6,5,0,5,0,4.444444,0.952925,4,1,3,93,0.783042,0.044586,0.5,2,0.941176,0.125,unhelpful
2394,0.698336,0.361573,0.55,20,49,4,4,3.75,0.5,4,0.725476,4.44898,1.137637,2,0,1,0,0,0,0,5,0.836735,0.02439,unhelpful
2859,0.718403,0.379458,0.333333,12,247,4,7,4.142857,0.690066,3.833333,1.114641,4.024291,0.966627,4,2,4,94,0.790454,0.032401,0,3,0.761905,0.0625,helpful
2646,0.75,0.353553,0.5,2,50,5,0,0,0,5,0,4.88,0.520596,0,0,0,70,0.776579,0.025794,0.2,3,0.888889,0.125,helpful
3700,0.754125,0.374784,0.333333,33,1345,4,7,3.714286,1.112697,3.515152,1.202113,4.613383,0.768114,4,2,4,186,0.775872,0.070884,0.4,4,0.810811,0.033333,helpful
6753,0.776667,0.337035,0.4,10,12,3,7,3,0.57735,4,1.333333,3.5,1.314257,5,0,2,76,0.804941,0.017771,0.5,3,0.789474,0,unhelpful
9671,0.833333,0,1,1,353,3,4,3,0.816497,3,0,3.898017,1.227443,2,0,0,46,0.752083,0.024931,0,2,0.9,0.074074,helpful
2279,0.74958,0.353738,0.294118,17,43,1,0,0,0,3.823529,1.014599,4.44186,1.296558,2,0,0,135,0.771961,0.026437,0,2,0.944444,0.117647,unhelpful
4370,0.693576,0.338633,0.3125,16,513,3,7,3.571429,1.133893,3.75,1.064581,4.031189,1.292633,5,2,3,342,0.78622,0.021518,0.5,3,0.789474,0.266667,helpful
4247,0.9273,0.139011,0.552632,76,6,2,7,2.285714,0.755929,3.763158,1.141559,3,1.414214,2,2,3,82,0.782934,0.043977,0,5,0.825,0.181818,helpful
6708,0.735714,0.326376,0.428571,7,73,3,0,0,0,3.571429,0.786796,3.726027,1.227693,0,0,0,164,0.765405,0.035887,0.142857,4,0.875,0.035714,unhelpful
4015,0.84127,0.119839,1,3,204,4,4,4.25,0.5,4,0,2.647059,1.658815,2,0,1,246,0.78162,0.024848,0.416667,2,0.933333,0.142857,unhelpful
4149,0.702115,0.419548,0.348148,135,75,5,7,4.857143,0.377964,4.02963,1.119306,4.373333,0.69308,5,2,3,95,0.782025,0.021136,0.75,5,0.860465,0.027027,helpful
4647,0.8,0.2,1,3,86,4,4,4.25,0.5,3,1,3.686047,1.408058,2,0,1,143,0.787764,0.027804,0.428571,3,0.83871,0.038462,helpful
4431,0.773796,0.368099,0.274194,62,143,4,4,4.75,0.5,3.580645,1.017041,3.832168,1.156647,2,0,1,81,0.808642,0.016794,0,2,0.923077,0.041667,unhelpful
5550,0.571429,0,1,1,281,2,0,0,0,2,0,3.24911,1.397143,0,0,0,72,0.793829,0.026502,0,5,0.871795,0.147059,unhelpful
9969,0.902937,0.14286,1,13,1413,4,4,4.5,0.57735,4.153846,0.688737,3.501769,1.194666,2,0,1,107,0.770199,0.02861,0,2,0.826087,0.052632,helpful
4990,0.479167,0.206239,0.5,2,259,5,0,0,0,4,1.414214,3.899614,1.153676,0,0,0,50,0.778781,0.055072,1,3,0.894737,0.176471,unhelpful
6566,0.682127,0.242228,0.692308,13,157,2,0,0,0,3.461538,0.967418,2.872611,1.35744,0,0,0,0,0,0,0,4,0.821429,0.173913,helpful
6073,0.899242,0.224664,0.464286,28,170,1,4,1.75,0.957427,3.75,1.040833,3.547059,1.245402,2,0,0,0,0,0,0,5,0.804878,0.060606,unhelpful
5494,0.877976,0.193613,0.5,8,9,5,0,0,0,3.75,0.886405,3,1.5,0,0,0,41,0.794944,0.04947,0,6,0.790698,0.029412,helpful
1568,0.898175,0.164515,0.818182,22,285,5,6,4.666667,0.816497,3.590909,1.098011,4.301754,1.100655,3,2,3,487,0.768356,0.046239,0.793103,6,0.78,0.128205,helpful
6612,0.946853,0.125243,0.454545,11,421,4,4,3.25,0.957427,4.181818,1.07872,3.472684,1.35131,2,0,1,277,0.779253,0.010117,0.4,7,0.864407,0,helpful
3111,0.645161,0,1,1,28,4,4,3,0,4,0,3.178571,1.188013,2,0,1,22,0.804124,0.025641,0,2,0.95,0.052632,unhelpful
3813,0.392548,0.432297,0.20155,129,39,5,4,4.5,0.57735,4.178295,1.056598,2.923077,1.475852,2,0,1,9,0.75,0.035088,0,6,0.825,0.181818,unhelpful
2665,0.850784,0.185785,0.590909,66,49,2,4,2.5,1,4.136364,0.958948,3.204082,1.58087,2,0,0,252,0.783412,0.020296,0.111111,4,0.857143,0.033333,unhelpful
6659,0.6,0,1,1,271,4,0,0,0,4,0,3.656827,1.312454,0,0,0,0,0,0,0,1,0.8,0,unhelpful
5670,0.942308,0.118754,0.769231,13,13,4,4,4.25,0.957427,3.615385,0.960769,2.615385,1.502135,2,0,1,252,0.787989,0.018926,0.75,7,0.821429,0.021739,helpful
7541,0.706391,0.39269,0.380952,21,79,5,4,4.25,0.5,4.142857,0.910259,3.898734,0.955348,2,0,1,130,0.797287,0.037037,1,4,0.857143,0.222222,helpful
